Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,2592.169922,2619.139893,2575.489990,2614.449951,2614.449951,3392810000
2018-04-04,2584.040039,2649.860107,2573.610107,2644.689941,2644.689941,3350340000
2018-04-05,2657.360107,2672.080078,2649.580078,2662.840088,2662.840088,3178970000
2018-04-06,2645.820068,2656.879883,2586.270020,2604.469971,2604.469971,3299700000
2018-04-09,2617.179932,2653.550049,2610.790039,2613.159912,2613.159912,3062960000
2018-04-10,2638.409912,2665.449951,2635.780029,2656.870117,2656.870117,3543930000
2018-04-11,2643.889893,2661.429932,2639.250000,2642.189941,2642.189941,3020760000
2018-04-12,2653.830078,2674.719971,2653.830078,2663.989990,2663.989990,3021320000
2018-04-13,2676.899902,2680.260010,2645.050049,2656.300049,2656.300049,2960910000
2018-04-16,2670.100098,2686.489990,2665.159912,2677.840088,2677.840088,3019700000
2018-04-17,2692.739990,2713.340088,2692.050049,2706.389893,2706.389893,3234360000
2018-04-18,2710.110107,2717.489990,2703.629883,2708.639893,2708.639893,3383410000
2018-04-19,2701.159912,2702.840088,2681.899902,2693.129883,2693.129883,3349370000
2018-04-20,2692.560059,2693.939941,2660.610107,2670.139893,2670.139893,3388590000
2018-04-23,2675.399902,2682.860107,2657.989990,2670.290039,2670.290039,3017480000
2018-04-24,2680.800049,2683.550049,2617.320068,2634.560059,2634.560059,3706740000
2018-04-25,2634.919922,2645.300049,2612.669922,2639.399902,2639.399902,3499440000
2018-04-26,2651.649902,2676.479980,2647.159912,2666.939941,2666.939941,3665720000
2018-04-27,2675.469971,2677.350098,2659.010010,2669.909912,2669.909912,3219030000
2018-04-30,2682.510010,2682.870117,2648.040039,2648.050049,2648.050049,3734530000
2018-05-01,2642.959961,2655.270020,2625.409912,2654.800049,2654.800049,3559850000
2018-05-02,2654.239990,2660.870117,2631.699951,2635.669922,2635.669922,4010770000
2018-05-03,2628.080078,2637.139893,2594.620117,2629.729980,2629.729980,3851470000
2018-05-04,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000
2018-05-07,2680.340088,2683.350098,2664.699951,2672.629883,2672.629883,3237960000
2018-05-08,2670.260010,2676.340088,2655.199951,2671.919922,2671.919922,3717570000
2018-05-09,2678.120117,2701.270020,2674.139893,2697.790039,2697.790039,3909500000
2018-05-10,2705.020020,2726.110107,2704.540039,2723.070068,2723.070068,3333050000
2018-05-11,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000
2018-05-14,2738.469971,2742.100098,2725.469971,2730.129883,2730.129883,2972660000
2018-05-15,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000
2018-05-16,2712.620117,2727.760010,2712.169922,2722.459961,2722.459961,3202670000
2018-05-17,2719.709961,2731.959961,2711.360107,2720.129883,2720.129883,3475400000
2018-05-18,2717.350098,2719.500000,2709.179932,2712.969971,2712.969971,3368690000
2018-05-21,2735.389893,2739.189941,2725.699951,2733.010010,2733.010010,3019890000
2018-05-22,2738.340088,2742.239990,2721.879883,2724.439941,2724.439941,3366310000
2018-05-23,2713.979980,2733.330078,2709.540039,2733.290039,2733.290039,3326290000
2018-05-24,2730.939941,2731.969971,2707.379883,2727.760010,2727.760010,3256030000
2018-05-25,2723.600098,2727.360107,2714.989990,2721.330078,2721.330078,2995260000
2018-05-29,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000
2018-05-30,2702.429932,2729.340088,2702.429932,2724.010010,2724.010010,3561050000
2018-05-31,2720.979980,2722.500000,2700.679932,2705.270020,2705.270020,4235370000
2018-06-01,2718.699951,2736.929932,2718.699951,2734.620117,2734.620117,3684130000
2018-06-04,2741.669922,2749.159912,2740.540039,2746.870117,2746.870117,3376510000
2018-06-05,2748.459961,2752.610107,2739.510010,2748.800049,2748.800049,3517790000
2018-06-06,2753.250000,2772.389893,2748.459961,2772.350098,2772.350098,3651640000
2018-06-07,2774.840088,2779.899902,2760.159912,2770.370117,2770.370117,3711330000
2018-06-08,2765.840088,2779.389893,2763.590088,2779.030029,2779.030029,3123210000
2018-06-11,2780.179932,2790.209961,2780.169922,2782.000000,2782.000000,3232330000
2018-06-12,2785.600098,2789.800049,2778.780029,2786.850098,2786.850098,3401010000
2018-06-13,2787.939941,2791.469971,2774.649902,2775.629883,2775.629883,3779230000
2018-06-14,2783.209961,2789.060059,2776.520020,2782.489990,2782.489990,3526890000
2018-06-15,2777.780029,2782.810059,2761.729980,2779.659912,2779.659912,5428790000
2018-06-18,2765.790039,2774.989990,2757.120117,2773.750000,2773.750000,3287150000
2018-06-19,2752.010010,2765.050049,2743.189941,2762.590088,2762.590088,3661470000
2018-06-20,2769.729980,2774.860107,2763.909912,2767.320068,2767.320068,3327600000
2018-06-21,2769.280029,2769.280029,2744.389893,2749.760010,2749.760010,3300060000
2018-06-22,2760.790039,2764.169922,2752.679932,2754.879883,2754.879883,5450550000
2018-06-25,2742.939941,2742.939941,2698.669922,2717.070068,2717.070068,3655080000
2018-06-26,2722.120117,2732.909912,2715.600098,2723.060059,2723.060059,3555090000
2018-06-27,2728.449951,2746.090088,2699.379883,2699.629883,2699.629883,3776090000
2018-06-28,2698.689941,2724.340088,2691.989990,2716.310059,2716.310059,3428140000
2018-06-29,2727.129883,2743.260010,2718.030029,2718.370117,2718.370117,3565620000
2018-07-02,2704.949951,2727.260010,2698.949951,2726.709961,2726.709961,3073650000
2018-07-03,2733.270020,2736.580078,2711.159912,2713.219971,2713.219971,1911470000
2018-07-05,2724.189941,2737.830078,2716.020020,2736.610107,2736.610107,2953420000
2018-07-06,2737.679932,2764.409912,2733.520020,2759.820068,2759.820068,2554780000
2018-07-09,2775.620117,2784.649902,2770.729980,2784.169922,2784.169922,3050040000
2018-07-10,2788.560059,2795.580078,2786.239990,2793.840088,2793.840088,3063850000
2018-07-11,2779.820068,2785.909912,2770.770020,2774.020020,2774.020020,2964740000
2018-07-12,2783.139893,2799.219971,2781.530029,2798.290039,2798.290039,2821690000
2018-07-13,2796.929932,2804.530029,2791.689941,2801.310059,2801.310059,2614000000
2018-07-16,2797.360107,2801.189941,2793.389893,2798.429932,2798.429932,2812230000
2018-07-17,2789.340088,2814.189941,2789.239990,2809.550049,2809.550049,3050730000
2018-07-18,2811.350098,2816.760010,2805.889893,2815.620117,2815.620117,3089780000
2018-07-19,2809.370117,2812.050049,2799.770020,2804.489990,2804.489990,3266700000
2018-07-20,2804.550049,2809.699951,2800.010010,2801.830078,2801.830078,3230210000
2018-07-23,2799.169922,2808.610107,2795.139893,2806.979980,2806.979980,2907430000
2018-07-24,2820.679932,2829.989990,2811.120117,2820.399902,2820.399902,3417530000
2018-07-25,2817.729980,2848.030029,2817.729980,2846.070068,2846.070068,3553010000
2018-07-26,2835.489990,2845.570068,2835.260010,2837.439941,2837.439941,3653330000
2018-07-27,2842.350098,2843.169922,2808.340088,2818.820068,2818.820068,3415710000
2018-07-30,2819.000000,2821.739990,2798.110107,2802.600098,2802.600098,3245770000
2018-07-31,2809.729980,2824.459961,2808.060059,2816.290039,2816.290039,3892100000
2018-08-01,2821.169922,2825.830078,2805.850098,2813.360107,2813.360107,3496990000
2018-08-02,2800.479980,2829.909912,2796.340088,2827.219971,2827.219971,3467380000
2018-08-03,2829.620117,2840.379883,2827.370117,2840.350098,2840.350098,3030390000
2018-08-06,2840.290039,2853.290039,2835.979980,2850.399902,2850.399902,2874540000
2018-08-07,2855.919922,2863.429932,2855.919922,2858.449951,2858.449951,3162770000
2018-08-08,2856.790039,2862.439941,2853.090088,2857.699951,2857.699951,2972200000
2018-08-09,2857.189941,2862.479980,2851.979980,2853.580078,2853.580078,3047050000
2018-08-10,2838.899902,2842.199951,2825.810059,2833.280029,2833.280029,3256040000
2018-08-13,2835.459961,2843.399902,2819.879883,2821.929932,2821.929932,3158450000
2018-08-14,2827.879883,2843.110107,2826.580078,2839.959961,2839.959961,2976970000
2018-08-15,2827.949951,2827.949951,2802.489990,2818.370117,2818.370117,3645070000
2018-08-16,2831.439941,2850.489990,2831.439941,2840.689941,2840.689941,3219880000
2018-08-17,2838.320068,2855.629883,2833.729980,2850.129883,2850.129883,3024100000
2018-08-20,2853.929932,2859.760010,2850.620117,2857.050049,2857.050049,2748020000
2018-08-21,2861.510010,2873.229980,2861.320068,2862.959961,2862.959961,1897094700
